face_measurement_id,person_id,image_name,image_path,visibility_label,true_hairline_y,true_y_source,estimated_hairline_y,detected_hairline_y,detected_estimated_difference_ratio,mean_difference_ratio,std_difference_ratio,min_difference_ratio,max_difference_ratio,near_boundary_ratio,mean_skin_ratio
1,2,D:\data\raw_data\20220817_ID0002_C_01_N00130.png,D:\data\raw_data\20220817_ID0002_C_01_N00130.png,covered,,unknown,258.783802,318.000000,0.315554,0.500531,0.097488,0.256937,0.640613,0.000000,0.300956
2,3,D:\data\raw_data\20220817_ID0003_C_02_N00014.png,D:\data\raw_data\20220817_ID0003_C_02_N00014.png,covered,,unknown,263.853695,359.000000,0.503290,0.591921,0.078397,0.397498,0.773063,0.000000,0.231005
3,6,D:\data\raw_data\20220824_ID0006_C_02_N00249.png,D:\data\raw_data\20220824_ID0006_C_02_N00249.png,visible,251.000000,detected,278.988245,251.000000,0.141181,-0.100560,0.034080,-0.151270,-0.040295,0.332353,0.774373
4,9,D:\data\raw_data\20220824_ID0009_C_01_N00124.png,D:\data\raw_data\20220824_ID0009_C_01_N00124.png,covered,,unknown,283.341117,343.000000,0.338586,0.537566,0.121504,0.219403,0.798291,0.000000,0.283461
5,10,D:\data\raw_data\20220824_ID0010_C_01_N00266.png,D:\data\raw_data\20220824_ID0010_C_01_N00266.png,visible,264.000000,detected,266.814593,264.000000,0.015766,0.119342,0.134555,-0.021368,0.471578,0.548387,0.559385
6,12,D:\data\raw_data\20220825_ID0012_C_01_N00089.png,D:\data\raw_data\20220825_ID0012_C_01_N00089.png,visible,268.000000,detected,263.826520,268.000000,0.021742,0.116536,0.071022,0.011323,0.303059,0.282392,0.582556
7,13,D:\data\raw_data\20220825_ID0013_C_01_N00337.png,D:\data\raw_data\20220825_ID0013_C_01_N00337.png,visible,286.000000,detected,282.850746,286.000000,0.018299,0.257271,0.300967,0.012488,0.913125,0.469091,0.437727
8,14,D:\data\raw_data\20220825_ID0014_C_01_N00251.png,D:\data\raw_data\20220825_ID0014_C_01_N00251.png,visible,280.000000,detected,279.397831,280.000000,0.003600,0.295401,0.316827,0.003600,0.966091,0.425676,0.430565
9,16,D:\data\raw_data\20220826_ID0016_C_01_N00408.png,D:\data\raw_data\20220826_ID0016_C_01_N00408.png,visible,283.000000,detected,266.953072,283.000000,0.086721,0.191945,0.096739,0.070509,0.475826,0.041522,0.524411
10,19,D:\data\raw_data\20220826_ID0019_C_02_N00102.png,D:\data\raw_data\20220826_ID0019_C_02_N00102.png,visible,289.000000,detected,282.924552,289.000000,0.033902,0.388161,0.293671,0.033902,0.820714,0.218430,0.378259
11,22,D:\data\raw_data\20220829_ID0022_C_01_N00006.png,D:\data\raw_data\20220829_ID0022_C_01_N00006.png,visible,278.000000,detected,283.525169,278.000000,0.030401,0.046707,0.065210,-0.041406,0.272224,0.789655,0.635926
12,24,D:\data\raw_data\20220829_ID0024_C_01_N00014.png,D:\data\raw_data\20220829_ID0024_C_01_N00014.png,visible,255.000000,detected,266.150203,255.000000,0.059416,0.147414,0.216519,-0.070074,0.793177,0.553746,0.562236
13,25,D:\data\raw_data\20220829_ID0025_C_02_N00125.png,D:\data\raw_data\20220829_ID0025_C_02_N00125.png,visible,265.000000,detected,271.319250,265.000000,0.034577,0.075961,0.156929,-0.056464,0.611080,0.681388,0.599993
14,28,D:\data\raw_data\20220901_ID0028_C_01_N00306.png,D:\data\raw_data\20220901_ID0028_C_01_N00306.png,covered,,unknown,269.612617,393.000000,0.678056,0.799676,0.062129,0.551663,0.859403,0.000000,0.090220
15,29,D:\data\raw_data\20220901_ID0029_C_01_N00140.png,D:\data\raw_data\20220901_ID0029_C_01_N00140.png,visible,255.000000,detected,290.337299,255.000000,0.210225,-0.131404,0.082870,-0.216174,0.105077,0.173502,0.718383
16,30,D:\data\raw_data\20220901_ID0030_C_01_N00002.png,D:\data\raw_data\20220901_ID0030_C_01_N00002.png,visible,267.000000,detected,281.328583,267.000000,0.078812,0.063376,0.116588,-0.106314,0.322713,0.416667,0.629425
17,33,D:\data\raw_data\20220901_ID0033_C_01_N00342.png,D:\data\raw_data\20220901_ID0033_C_01_N00342.png,visible,269.000000,detected,256.374954,269.000000,0.064387,0.124725,0.062103,0.064387,0.319383,0.245033,0.588444
18,37,D:\data\raw_data\20220902_ID0037_C_02_N00068.png,D:\data\raw_data\20220902_ID0037_C_02_N00068.png,visible,273.000000,detected,263.725019,273.000000,0.053162,0.109432,0.039427,0.041698,0.179260,0.293413,0.542897
19,38,D:\data\raw_data\20220902_ID0038_C_01_N00103.png,D:\data\raw_data\20220902_ID0038_C_01_N00103.png,visible,249.000000,detected,270.310454,249.000000,0.122914,0.177200,0.207188,-0.145985,0.609592,0.221122,0.535191
20,39,D:\data\raw_data\20220902_ID0039_C_02_N00139.png,D:\data\raw_data\20220902_ID0039_C_02_N00139.png,visible,276.000000,detected,267.583735,276.000000,0.045930,0.087499,0.028268,0.040473,0.138704,0.422442,0.595915
21,40,D:\data\raw_data\20220905_ID0040_C_02_N00094.png,D:\data\raw_data\20220905_ID0040_C_02_N00094.png,visible,304.000000,detected,284.340369,304.000000,0.114103,0.306653,0.164185,0.102495,0.816375,0.000000,0.434095
22,43,D:\data\raw_data\20220905_ID0043_C_01_N00012.png,D:\data\raw_data\20220905_ID0043_C_01_N00012.png,visible,268.000000,detected,284.544337,268.000000,0.094116,0.045146,0.182409,-0.111182,0.594216,0.490196,0.648719
23,44,D:\data\raw_data\20220905_ID0044_C_02_N00046.png,D:\data\raw_data\20220905_ID0044_C_02_N00046.png,visible,227.000000,detected,261.972089,227.000000,0.202150,-0.006504,0.203028,-0.254173,0.578194,0.346875,0.619019
24,45,D:\data\raw_data\20220905_ID0045_C_01_N00079.png,D:\data\raw_data\20220905_ID0045_C_01_N00079.png,visible,296.000000,detected,265.414344,296.000000,0.169765,0.346970,0.125255,0.153113,0.619352,0.000000,0.403387
25,46,D:\data\raw_data\20220905_ID0046_C_01_N00004.png,D:\data\raw_data\20220905_ID0046_C_01_N00004.png,visible,223.000000,detected,259.595429,223.000000,0.189958,-0.101592,0.105906,-0.195148,0.178585,0.245562,0.741221
26,48,D:\data\raw_data\20220906_ID0048_C_01_N00001.png,D:\data\raw_data\20220906_ID0048_C_01_N00001.png,visible,267.000000,detected,268.378315,267.000000,0.007494,0.165383,0.148567,-0.018368,0.530776,0.384868,0.536524
27,49,D:\data\raw_data\20220906_ID0049_C_02_N00068.png,D:\data\raw_data\20220906_ID0049_C_02_N00068.png,visible,266.000000,detected,271.306852,266.000000,0.027220,0.054243,0.081898,-0.032349,0.295918,0.692810,0.653041
28,50,D:\data\raw_data\20220906_ID0050_C_01_N00651.png,D:\data\raw_data\20220906_ID0050_C_01_N00651.png,visible,268.000000,detected,254.084897,268.000000,0.077730,0.146016,0.071484,0.072144,0.384960,0.158683,0.528172
29,52,D:\data\raw_data\20220906_ID0052_C_01_N00004.png,D:\data\raw_data\20220906_ID0052_C_01_N00004.png,visible,315.000000,detected,292.180538,315.000000,0.133920,0.324839,0.215853,0.122183,0.908586,0.000000,0.388093
30,55,D:\data\raw_data\20220906_ID0055_C_01_N00008.png,D:\data\raw_data\20220906_ID0055_C_01_N00008.png,visible,257.000000,detected,281.430478,257.000000,0.141545,-0.064942,0.047883,-0.147339,0.043856,0.589577,0.681484
31,58,D:\data\raw_data\20220907_ID0058_C_02_N00006.png,D:\data\raw_data\20220907_ID0058_C_02_N00006.png,visible,307.000000,detected,257.512775,307.000000,0.282646,0.332158,0.046147,0.265511,0.493971,0.000000,0.406205
32,67,D:\data\raw_data\20220913_ID0067_C_01_N00001.png,D:\data\raw_data\20220913_ID0067_C_01_N00001.png,visible,325.000000,detected,269.503123,325.000000,0.285380,0.486358,0.120675,0.213388,0.686478,0.000000,0.346143
33,70,D:\data\raw_data\20220913_ID0070_C_02_N00033.png,D:\data\raw_data\20220913_ID0070_C_02_N00033.png,visible,285.000000,detected,264.175946,285.000000,0.113014,0.493909,0.204521,0.107587,0.753408,0.000000,0.307198
34,73,D:\data\raw_data\20220913_ID0073_C_01_N00001.png,D:\data\raw_data\20220913_ID0073_C_01_N00001.png,visible,241.000000,detected,264.987449,241.000000,0.129443,-0.090303,0.046062,-0.140236,0.070219,0.246795,0.714411
35,75,D:\data\raw_data\20220914_ID0075_C_01_N00041.png,D:\data\raw_data\20220914_ID0075_C_01_N00041.png,visible,257.000000,detected,273.842827,257.000000,0.092685,0.137424,0.243692,-0.103691,0.611692,0.362500,0.554088
36,78,D:\data\raw_data\20220914_ID0078_C_03_N00306.png,D:\data\raw_data\20220914_ID0078_C_03_N00306.png,visible,240.000000,detected,279.943385,240.000000,0.224609,-0.154159,0.053838,-0.247102,0.028434,0.096990,0.751842
37,80,D:\data\raw_data\20220914_ID0080_C_01_N00036.png,D:\data\raw_data\20220914_ID0080_C_01_N00036.png,visible,271.000000,detected,262.365125,271.000000,0.045427,0.118152,0.074675,0.034905,0.329511,0.491694,0.583709
38,82,D:\data\raw_data\20220915_ID0082_C_02_N00018.png,D:\data\raw_data\20220915_ID0082_C_02_N00018.png,visible,233.000000,detected,261.865107,233.000000,0.148194,-0.048435,0.092093,-0.158462,0.180383,0.450658,0.726622
39,83,D:\data\raw_data\20220915_ID0083_C_01_N00001.png,D:\data\raw_data\20220915_ID0083_C_01_N00001.png,visible,255.000000,detected,276.621201,255.000000,0.114583,0.050511,0.201530,-0.130482,0.659155,0.569536,0.639866
40,86,D:\data\raw_data\20220915_ID0086_C_02_N00052.png,D:\data\raw_data\20220915_ID0086_C_02_N00052.png,visible,282.000000,detected,271.086164,282.000000,0.060427,0.130880,0.060848,0.060427,0.353872,0.204698,0.555762
41,88,D:\data\raw_data\20220915_ID0088_C_02_N00273.png,D:\data\raw_data\20220915_ID0088_C_02_N00273.png,visible,252.000000,detected,269.507646,252.000000,0.095670,-0.012789,0.065377,-0.106599,0.155696,0.706485,0.678324
42,91,D:\data\raw_data\20220916_ID0091_C_01_N00045.png,D:\data\raw_data\20220916_ID0091_C_01_N00045.png,covered,,unknown,290.152956,338.000000,0.252134,0.311246,0.052343,0.225786,0.420761,0.000000,0.433926
43,93,D:\data\raw_data\20220916_ID0093_C_02_N00212.png,D:\data\raw_data\20220916_ID0093_C_02_N00212.png,visible,280.000000,detected,261.739685,280.000000,0.096375,0.443268,0.213106,0.033041,0.766664,0.055394,0.335616
44,95,D:\data\raw_data\20220916_ID0095_C_02_N00065.png,D:\data\raw_data\20220916_ID0095_C_02_N00065.png,visible,257.000000,detected,269.742208,257.000000,0.067356,-0.015760,0.040606,-0.072642,0.107083,0.960714,0.703146
45,96,D:\data\raw_data\20220919_ID0096_C_02_N00188.png,D:\data\raw_data\20220919_ID0096_C_02_N00188.png,visible,248.000000,detected,241.144145,248.000000,0.034937,0.113690,0.074515,0.029841,0.355980,0.418301,0.573970
46,97,D:\data\raw_data\20220919_ID0097_C_02_N00030.png,D:\data\raw_data\20220919_ID0097_C_02_N00030.png,visible,265.000000,detected,261.133939,265.000000,0.021113,0.257765,0.223829,0.010191,0.643675,0.359873,0.467569
47,98,D:\data\raw_data\20220919_ID0098_C_01_N00164.png,D:\data\raw_data\20220919_ID0098_C_01_N00164.png,visible,272.000000,detected,266.727018,272.000000,0.029572,0.107279,0.069278,0.023964,0.343629,0.389474,0.574278
48,100,D:\data\raw_data\20220919_ID0100_C_02_N00078.png,D:\data\raw_data\20220919_ID0100_C_02_N00078.png,visible,228.000000,detected,274.762811,228.000000,0.275908,-0.151114,0.126481,-0.275908,0.160704,0.281879,0.710875
49,101,D:\data\raw_data\20220919_ID0101_C_02_N00025.png,D:\data\raw_data\20220919_ID0101_C_02_N00025.png,visible,256.000000,detected,271.311517,256.000000,0.081135,0.017404,0.100863,-0.086434,0.268595,0.495575,0.658888
50,104,D:\data\raw_data\20220920_ID0104_C_02_N00063.png,D:\data\raw_data\20220920_ID0104_C_02_N00063.png,covered,,unknown,250.618105,280.000000,0.148170,0.230387,0.078608,0.117913,0.435617,0.000000,0.523083
51,105,D:\data\raw_data\20220920_ID0105_C_02_N00267.png,D:\data\raw_data\20220920_ID0105_C_02_N00267.png,visible,256.000000,detected,270.892627,256.000000,0.085013,0.012538,0.084086,-0.085013,0.263200,0.693069,0.623235
52,107,D:\data\raw_data\20220920_ID0107_C_02_N00015.png,D:\data\raw_data\20220920_ID0107_C_02_N00015.png,visible,294.000000,detected,258.448341,294.000000,0.193472,0.299590,0.087627,0.188030,0.525432,0.000000,0.436526
53,109,D:\data\raw_data\20220920_ID0109_C_02_N00022.png,D:\data\raw_data\20220920_ID0109_C_02_N00022.png,visible,289.000000,detected,289.790602,289.000000,0.004335,0.048445,0.061557,-0.015300,0.253359,0.776557,0.654674
54,110,D:\data\raw_data\20220921_ID0110_C_02_N00005.png,D:\data\raw_data\20220921_ID0110_C_02_N00005.png,visible,234.000000,detected,256.713542,234.000000,0.116426,-0.023368,0.068357,-0.121552,0.185999,0.726190,0.662528
